Leak#,Latitude,Longitude,Base,COF,POF,Subway,Tree,GW,Soil,Total
73,37.53258983,127.1437216,0.06913842034334682,0.465,1.0,0.0,0.0,2.7,0.0,4.234138420343347
74,37.54321486,127.129049,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
75,37.56278166,127.1793799,0.01098694263059318,0.465,0.72,0.0,0.0,2.7,0.0,3.8959869426305933
76,37.54129826,127.1353562,0.31002551887238755,0.39,1.0,0.0,0.0,2.7,0.0,4.400025518872388
77,37.54228506,127.1224851,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
78,37.54647796,127.1544381,0.06913842034334682,0.54,1.0,0.0,0.0,2.7,0.0,4.309138420343347
79,37.55014651,127.1653108,6.10879359434401E-4,0.723,0.42,0.0,0.0,2.7,0.0,3.8436108793594346
80,37.54536514,127.1553987,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
81,37.5608632,127.1413314,0.0066928509242848554,0.465,0.56,0.0,0.0,2.7,0.0,3.731692850924285
82,37.55649849,127.1656439,0.02931223075135632,0.39,0.42,0.0,0.0,2.7,0.0,3.5393122307513565
83,37.5425341,127.128791,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
84,37.56009574,127.1457301,0.0011125360328603205,0.723,0.56,0.0,0.0,2.7,0.0,3.9841125360328604
85,37.54717039,127.131722,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
86,37.54744405,127.1259297,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
87,37.54869711,127.1337874,0.004496273160941178,0.465,0.42,0.0,0.0,2.7,0.0,3.5894962731609414
88,37.55230143,127.1389301,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
89,37.55139612,127.1226622,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
90,37.54555049,127.1287518,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
