시료코드 ,시험코드 ,시험종류 ,시험제어방식 ,내부마찰각 ,점착력 
B0655SB007DS03,B0655SB007DS03UU,UU,0,0,0.18
B0661SB001US04,B0661SB001US04UU,UU,0,0,0.23
B0661SB001US05,B0661SB001US05UU,UU,0,0,0.28
B0661SB002US03,B0661SB002US03UU,UU,0,0,0.17
B0661SB002US04,B0661SB002US04UU,UU,0,0,0.37
B0661SB003US08,B0661SB003US08UU,UU,0,0,0.25
B0661SB003US09,B0661SB003US09UU,UU,0,0,0.3
B0661SB004US05,B0661SB004US05UU,UU,0,0,0.18
B0661SB004US06,B0661SB004US06UU,UU,0,0,0.29
B0661SB005US06,B0661SB005US06UU,UU,0,0,0.15
B0661SB005US07,B0661SB005US07UU,UU,0,0,0.28
B0661SB006US05,B0661SB006US05UU,UU,0,0,0.36
B0661SB006US06,B0661SB006US06UU,UU,0,0,0.58
B0661SB007US07,B0661SB007US07UU,UU,0,0,0.16
B0661SB008US05,B0661SB008US05UU,UU,0,0,0.16
B0661SB010US03,B0661SB010US03UU,UU,0,0,0.31
B0661SB015US05,B0661SB015US05UU,UU,0,0,0.24
B0661SB015US06,B0661SB015US06UU,UU,0,0,0.17
B0661SB016US07,B0661SB016US07UU,UU,0,0,0.14
B0661SB018US09,B0661SB018US09UU,UU,0,0,0.16
B0661SB018US10,B0661SB018US10UU,UU,0,0,0.24
B0661SB019US05,B0661SB019US05UU,UU,0,0,0.17
B0661SB021US09,B0661SB021US09UU,UU,0,0,0.2
B0661SB021US10,B0661SB021US10UU,UU,0,0,0.11
B0661SB023US08,B0661SB023US08UU,UU,0,0,0.16
B0661SB023US09,B0661SB023US09UU,UU,0,0,0.27
B0670BH012DS01,B0670BH012DS01UU,UU,0,0,0
B0670BH012US02,B0670BH012US02UU,UU,0,0,0.28
B0670BH013DS01,B0670BH013DS01UU,UU,0,0,0
B0670BH013US02,B0670BH013US02UU,UU,0,0,0.3
B0670BH015US02,B0670BH015US02UU,UU,0,0,0.38
B0670SB007DS03,B0670SB007DS03UU,UU,0,0,0.18
B0671,B0671UU,UU,0,76,0.27
B0671,B0671CU,CU,0,80,0.3
B0671SB005US05,B0671SB005US05CU,CU,0,80,0.3
B0671SB005US05,B0671SB005US05UU,UU,0,80,0.3
