idn,dl_sm_cde,dn_sm_cde,dn_cm_cde,pie_no,ty_jl_cde,inx_no,me_og_cde,buse_cde,sat_mhe,end_mhe,en_mt_cde,mop_cde,re_om_cde,lay_ymd,lg_yo_cde,om_pe_dtr,hol_std,vel_std,pe_rw_num,lenx,spt_hsl,ept_hsl,st_pip_hit,et_pip_hit,spt_dep,ept_dep,are_dep,st_rt_rto,hh_fy_cde,chk_yno,mr_dl_cde,dr_en_yno,st_st_yno,dtr_cce,pe_nr_cce,dr_lx_cce,dr_lp_cce,yr_dx_cce,pw_hp_cce,dp_pe_cce,da_st_cde,nw_da_yno,ifw_riv,rmk,ue_st_year,cn_pl_year,cn_spot,rp_mt_cde,dg_gn_cde,cn_area,cn_cs_cde,sy_gn_cde,dv_gn_cde,mr_pl_cde,sv_yn_cde,gh_fc_chk,in_pi_cde,cn_nam,year
25-00852,T,SN,PN,0011-209,SB007,"377052326",SB25,"12",0011-209-1,0011-210-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",25.250,19.00,18.84,18.03,17.89,0.47,0.45,0.46,5.54,"999",,C,,,Ø450,0011-209/Ø450,Ø450/L25.25,Ø450/L25.25/D0.47/D0.45,1900/Ø450/L25.25,1900/HP/Ø450/L25.25/D18.03/D17.89/S5.54,1900/HP/Ø450/L25.25/D 0.47/D 0.45,"01",N,,,"1900","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1900"
25-11428,T,SN,KDT,0230-206,SB007,"377052348",SB25,"12",0230-206-1,0230-207-1,"001","012","001",1980/12/30,"0","300",0.00,0.00,"1",15.330,19.07,18.72,18.04,17.54,0.68,0.83,0.76,32.62,"999",,D,,,Ø300,0230-206/Ø300,Ø300/L15.33,Ø300/L15.33/D0.68/D0.83,1980/Ø300/L15.33,1980/HP/Ø300/L15.33/D18.04/D17.54/S32.62,1980/HP/Ø300/L15.33/D 0.68/D 0.83,"11",N,,,"1980","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1980"
25-06719,T,SN,SLO,5228-100,SB010,"377052415",SB25,"12",5226-100-1,5228-200-1,"002","040","001",1988/12/30,"0","300",0.00,0.00,"1",43.180,33.92,33.07,32.83,31.96,0.74,0.76,0.75,20.15,"999",,C,,,Ø300,5228-100/Ø300,Ø300/L43.18,Ø300/L43.18/D0.74/D0.76,1988/Ø300/L43.18,1988/THP/Ø300/L43.18/D32.83/D31.96/S20.15,1988/THP/Ø300/L43.18/D 0.74/D 0.76,"01",N,,,"1988","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1988"
25-07148,T,SN,ML,0007-200,SB007,"377051992",SB25,"12",0007-200-1,0007-300-1,"001","012","001",1988/12/30,"0","800",0.00,0.00,"1",29.050,33.42,32.56,30.57,29.97,2.00,1.74,1.87,20.65,"999",,C,,,Ø800,0007-200/Ø800,Ø800/L29.05,Ø800/L29.05/D2.00/D1.74,1988/Ø800/L29.05,1988/HP/Ø800/L29.05/D30.57/D29.97/S20.65,1988/HP/Ø800/L29.05/D 2.00/D 1.74,"01",N,,,"1988","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1988"
25-06290,T,SN,SLO,0250-205,SB008,"377051985",SB25,"13",0250-205-1,0250-206-1,"002","012","001",2011/12/30,"0","600",0.00,0.00,"1",40.720,20.12,19.95,18.01,17.92,1.51,1.43,1.47,2.21,"999",,,,,Ø600,0250-205/Ø600,Ø600/L40.72,Ø600/L40.72/D1.51/D1.43,2011/Ø600/L40.72,2011/HP/Ø600/L40.72/D18.01/D17.92/S2.21,2011/HP/Ø600/L40.72/D1.51/D1.43,"62",N,,,"2011","1900","0",,,0.00,"0","02","02",B,N,,"999",강일2지구 하수관거,"2011"
25-10298,T,SN,KDT,0024-200,SB007,"377052319",SB25,"12",0024-200-1,0024-300-1,"001","012","001",2001/10/24,"0","1100",0.00,0.00,"1",35.580,19.65,19.31,17.05,16.56,1.45,1.60,1.53,13.77,"999",,C,,,Ø1100,0024-200/Ø1100,Ø1100/L35.58,Ø1100/L35.58/D1.45/D1.60,2001/Ø1100/L35.58,2001/HP/Ø1100/L35.58/D17.05/D16.56/S13.77,2001/HP/Ø1100/L35.58/D 1.45/D 1.60,"40",N,,,"2001","1900","0",,,0.00,"0","05","01",C,Y,,"999",천호동 123~21간 도로확장공사,"2001"
25-08556,T,SN,ML,0029-300,SB007,"377052413",SB25,"12",0029-300-1,0029-400-1,"001","012","001",1900/01/01,"0","600",0.00,0.00,"1",30.450,38.43,37.61,36.54,35.69,1.24,1.27,1.26,27.91,"999",,C,,,Ø600,0029-300/Ø600,Ø600/L30.45,Ø600/L30.45/D1.24/D1.27,1900/Ø600/L30.45,1900/HP/Ø600/L30.45/D36.54/D35.69/S27.91,1900/HP/Ø600/L30.45/D 1.24/D 1.27,"01",N,,,"1900","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1900"
25-02992,T,SN,CH,0417-100,SB007,"377052306",SB25,"12",0417-100-1,0419-100-1,"001","012","001",1980/12/31,"0","600",0.00,0.00,"1",47.470,17.87,17.38,16.11,16.01,1.11,0.72,0.92,2.11,"999",,B,,,Ø600,0417-100/Ø600,Ø600/L47.47,Ø600/L47.47/D1.11/D0.72,1980/Ø600/L47.47,1980/HP/Ø600/L47.47/D16.11/D16.01/S2.11,1980/HP/Ø600/L47.47/D 1.11/D 0.72,"01",N,,,"1980","1900","0",,,0.00,"0","03","01",B,N,,"999",,"1980"
25-30457,T,SN,CH,0046-103,SB007,"377051897",SB25,"12",0046-103-01,0046-100-1,"001","012","001",1980/12/31,"0","300",0.00,0.00,"1",6.570,16.45,16.55,15.62,15.61,0.48,0.59,0.54,1.52,"999",,,,,Ø300,0046-103/Ø300,Ø300/L6.57,Ø300/L6.57/D0.48/D0.59,1980/Ø300/L6.57,1980/HP/Ø300/L6.57/D15.62/D15.61/S1.52,1980/HP/Ø300/L6.57/D 0.48/D 0.59,"12",N,,,"1980","1900","0",,,0.00,"0","03","01",,N,,"999",,"1980"
25-07061,T,SN,SLO,0006-103,SB007,"377051983",SB25,"12",0006-103-1,0006-104-1,"001","012","001",1988/12/30,"0","450",0.00,0.00,"1",50.370,30.35,30.07,28.60,28.27,1.25,1.30,1.28,6.55,"999",,M,,,Ø450,0006-103/Ø450,Ø450/L50.37,Ø450/L50.37/D1.25/D1.30,1988/Ø450/L50.37,1988/HP/Ø450/L50.37/D28.60/D28.27/S6.55,1988/HP/Ø450/L50.37/D 1.25/D 1.30,"01",N,,,"1988","1900","0",,,0.00,"0","03","01",M,N,,"999",,"1988"
