X,Y,GU_NM,HNR_NAM,MTC_AT,MASTERNO,SLAVENO,NEADRES_NM,TRE_SOM,THT_HG,RM,MGE_LVL,LC,EVMT_IFNE,PLT_DE,RPRUNG_CN,ROAD_LT,ETC,GU_NO,DONG_NM,ETRC_YNO,SN,RPLNT_CN,ITM_ERY,BHT_DM,RNK_LC_CN,WTRTB_BT,EXT_YNO,MGE_ORG,DME_ETT,CMFE_LU_ST,DSPRVN_CN,MGE_MTE,MNCXPN_CT,TRE_IDN,TFCLNE_CO,PTN_CVR,WIDTH_NM,VAL_LVL,RNK_BHT_HG,WDPT_NM,CREAT_DE,PO_FE_NM
127.1662692,37.55660646,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,1263,,6,10,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-1263,0,1,고덕동길,0,3,느티나무,,
127.1370395,37.56690892,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,2,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1170,0,1,올림픽대로,0,3,느티나무,,
127.1236513,37.5539968,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,0,,6,16,9,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1002,0,1,올림픽대로,0,3,느티나무,,
127.148943,37.56661763,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1236,0,1,올림픽대로,0,3,느티나무,,
127.1353582,37.5663073,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,2,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1156,0,1,올림픽대로,0,3,느티나무,,
127.1600835,37.55579394,강동구,,,,,,8,6,,2,,0,,,0,,25,,2,0,,6,15,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-1127,0,1,고덕동길,0,3,느티나무,,
127.1481395,37.56653853,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1207,0,1,올림픽대로,0,3,느티나무,,
127.163314,37.55639916,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,168,,6,13,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0168,0,1,고덕동길,0,3,느티나무,,
127.1351322,37.52412432,강동구,,,,,,8,6,,2,,0,,,0,,25,,2,55,,6,15,12,3,0,푸른도시과,2,0,"0730흰불,방패",0,,25-둔촌로-가-0055,0,1,둔촌로,0,3,느티나무,,
127.134306,37.5654269,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,747,,6,9,12,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0747,0,1,올림픽대로,0,3,느티나무,,
127.1348654,37.52346406,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,48,,6,12,12,4,0,푸른도시과,2,0,"0730흰불,방패",0,,25-둔촌로-가-0048,0,1,둔촌로,0,3,느티나무,,
